temperature,humidity,mq135_ao,ldr_ao,soil_ao,label
24.946227956346487,60.303476818728896,1509,2873,2705,Poor Air Quality
38.81266759792453,40.19655480567472,1113,3611,3918,Too Hot/Dry
26.48768846728798,76.74980478809758,806,3446,1150,Too Wet
25.57333436341555,74.9568297846336,1658,3529,2163,Poor Air Quality
20.62618605942434,68.74828595637936,1128,958,2482,Low Light
33.086982318773366,40.517392599990906,1295,3172,3587,Too Hot/Dry
25.25851812433408,79.33500688248829,859,3548,1057,Too Wet
26.92333974785765,63.69292876671691,1906,2714,2734,Poor Air Quality
31.413444707196405,65.84150718006327,1745,2713,2228,Poor Air Quality
36.89122586525587,33.535394868885575,1082,2682,3928,Too Hot/Dry
23.863219013846567,83.30660832458608,1218,2989,1287,Too Wet
26.4117087114982,31.527026895109714,1898,405,3681,Unfavorable
25.706372832747896,81.5053197524103,1144,3431,1357,Too Wet
31.35404682113344,35.010370826592805,1883,446,3662,Unfavorable
29.883463094154386,59.213644133778445,932,3616,2489,Optimal
26.726774970955717,65.02341623099,887,299,2319,Low Light
20.679797934833708,55.68822517656282,1146,562,2343,Low Light
29.446406011907754,60.257019866483105,867,3177,2925,Optimal
26.54033546327673,67.55961996919821,1686,3573,2575,Poor Air Quality
32.47375514992686,44.3711343354525,1519,3416,3607,Too Hot/Dry
21.432984855321884,49.978941105304344,1952,318,4004,Unfavorable
22.668140868944654,75.3341794112582,757,2929,1563,Too Wet
38.81048467547285,32.761404260254885,1199,2517,3662,Too Hot/Dry
39.98535428727593,21.358365585507826,1412,3123,3669,Too Hot/Dry
39.177959197496804,43.83270093785232,1241,3278,3936,Too Hot/Dry
20.618732747819596,37.63091175588744,1790,337,3846,Unfavorable
38.09642538935039,32.41648903087135,1951,919,3841,Unfavorable
32.74447350660623,41.41533918490806,1384,3072,3753,Too Hot/Dry
28.81478910012503,66.10751958400486,1100,3092,2324,Optimal
39.667231443642116,44.1876950699605,1339,3625,3850,Too Hot/Dry
29.341673646373714,22.54290284628783,2085,593,4069,Unfavorable
38.06459029377834,41.95149598162268,1276,3328,3582,Too Hot/Dry
33.87284261629174,32.517808156386806,1317,3116,3529,Too Hot/Dry
20.74718946310212,33.97925520827679,1674,13,3792,Unfavorable
24.68750331974095,51.4155141625196,810,3296,2572,Optimal
36.071611786493,42.487964778569605,1628,995,4035,Unfavorable
29.384039829373265,71.8547061709561,1747,2596,2282,Poor Air Quality
27.10859363416302,71.22763458276191,783,3381,934,Too Wet
39.0146230215386,32.10245310505181,1210,3467,3773,Too Hot/Dry
23.12452595557492,81.53331911778618,966,2944,962,Too Wet
24.07638123380326,72.5196190436666,652,2869,1457,Too Wet
23.890571032975902,53.30971456386594,986,485,2406,Low Light
34.25059816288484,28.628555752507822,1711,968,3561,Unfavorable
26.99203651139625,60.32691065209457,1282,3170,2997,Optimal
29.393108122063808,71.84913302993192,1501,3404,2821,Poor Air Quality
28.604414923227232,23.523748373470536,1849,551,3649,Unfavorable
29.539333816619934,70.14855773531019,1636,3119,2494,Poor Air Quality
27.01857138489636,23.424590470668804,1952,819,3973,Unfavorable
26.610714593752544,52.24578450739178,1188,2887,2391,Optimal
25.440755651294378,51.255899719531214,979,3464,2934,Optimal
33.91272121728967,27.3838619051666,1307,2637,3848,Too Hot/Dry
33.53192107067731,39.22644312049124,1357,3410,4027,Too Hot/Dry
26.24293036429408,67.99089553917827,820,2948,2883,Optimal
37.71624635578446,29.699370343228395,1089,3399,3737,Too Hot/Dry
33.08494931675738,36.93450100728386,1610,578,3842,Unfavorable
20.923141962148627,57.989892237606256,1379,820,2356,Low Light
24.749879462404017,22.513496292171226,1791,341,3615,Unfavorable
25.69535391422824,50.33839775284537,967,3667,2705,Optimal
32.20631848996624,61.22791570794712,1834,3133,2945,Poor Air Quality
39.983068339967225,22.349025645020514,1875,888,3566,Unfavorable
25.948054489743605,59.74087252915595,1318,352,2768,Low Light
27.754487329165624,74.8721062987111,1985,2536,2693,Poor Air Quality
31.490818482708804,70.11795428053327,1901,2734,2002,Poor Air Quality
32.459654699447995,42.37468116299233,1440,3397,4030,Too Hot/Dry
22.483388654724152,72.46012032934067,823,3426,1455,Too Wet
27.53172409847149,72.2165646365542,707,3420,1283,Too Wet
22.605130687454047,76.03311598294653,785,3121,1188,Too Wet
26.207990658740584,58.754476107653595,1158,208,2128,Low Light
22.819748957687466,74.14790200997825,1230,2830,902,Too Wet
26.676517295673413,68.75570356203568,1141,613,2097,Low Light
35.72231274840669,31.302564885318013,1241,2742,3996,Too Hot/Dry
27.600307574471678,65.84079609187754,890,3006,2727,Optimal
25.192671303623086,77.14414097650494,1000,3133,1034,Too Wet
31.157956646528927,67.96301630211674,1530,3354,2352,Poor Air Quality
26.57701823252638,59.65403372609376,934,2904,2584,Optimal
27.808764825796565,79.02791678886636,833,3444,1587,Too Wet
27.881599812448542,73.2881834993739,1549,3530,2697,Poor Air Quality
25.716179748150584,60.52278392906528,868,80,2806,Low Light
